               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.039839,            0.017386,            0.036603,             0.50696,             0.41217,             0.40808,              0.2208,            0.036264,           0.0073749,            0.026829,            0.008812,            0.008812,            0.008812
                  38,            0.039798,            0.017296,            0.035731,             0.45012,             0.43896,             0.39735,             0.21402,            0.036694,           0.0073446,            0.027938,            0.008779,            0.008779,            0.008779
                  39,            0.039067,            0.017376,            0.035094,             0.48032,              0.4512,              0.4215,             0.22935,            0.035617,           0.0071962,            0.025448,            0.008746,            0.008746,            0.008746
                  40,            0.039287,            0.017259,            0.034209,             0.50093,             0.41384,             0.41311,             0.22782,            0.035616,           0.0071462,            0.025783,            0.008713,            0.008713,            0.008713
                  41,            0.039199,            0.017282,            0.033132,             0.50657,             0.44148,             0.43395,             0.24317,            0.035127,           0.0071456,            0.026592,             0.00868,             0.00868,             0.00868
                  42,            0.039461,            0.017145,            0.034087,               0.516,             0.45155,             0.43511,             0.24334,            0.034826,           0.0071085,            0.022984,            0.008647,            0.008647,            0.008647
                  43,            0.038996,            0.016876,            0.033442,             0.48958,             0.46914,              0.4203,             0.23334,            0.035056,           0.0071753,            0.024793,            0.008614,            0.008614,            0.008614
                  44,            0.039141,            0.017196,            0.033713,             0.53171,              0.4377,             0.43007,             0.24017,            0.035164,           0.0070716,            0.027009,            0.008581,            0.008581,            0.008581
                  45,            0.039204,            0.017012,            0.032546,             0.55548,             0.44728,             0.44886,             0.25236,            0.034512,           0.0071102,            0.028142,            0.008548,            0.008548,            0.008548
                  46,            0.039212,            0.016981,            0.035474,             0.51076,             0.47568,             0.44657,             0.24898,            0.034844,           0.0070605,            0.026866,            0.008515,            0.008515,            0.008515
                  47,             0.03892,            0.017076,            0.034293,             0.54104,             0.44865,             0.43153,             0.23873,            0.034825,           0.0071161,            0.024194,            0.008482,            0.008482,            0.008482
                  48,            0.038947,            0.017064,             0.03403,             0.53609,             0.46134,             0.45738,             0.26003,            0.034709,           0.0070954,            0.022668,            0.008449,            0.008449,            0.008449
                  49,             0.03892,            0.017075,            0.034244,             0.52149,             0.47809,              0.4561,              0.2553,             0.03481,           0.0070881,            0.022963,            0.008416,            0.008416,            0.008416
                  50,            0.039323,            0.017015,            0.033564,             0.48466,             0.46948,             0.45151,             0.25522,            0.034658,            0.007041,            0.024841,            0.008383,            0.008383,            0.008383
                  51,             0.03904,            0.016965,            0.033659,             0.55009,             0.46653,             0.44944,             0.25521,            0.035525,           0.0070366,            0.023294,             0.00835,             0.00835,             0.00835
                  52,            0.039026,            0.016979,            0.032408,             0.53075,             0.48315,             0.47193,             0.26764,            0.035248,           0.0069425,            0.023645,            0.008317,            0.008317,            0.008317
                  53,            0.039168,            0.016839,            0.033073,             0.50489,             0.47756,             0.47228,             0.27003,            0.034203,           0.0069787,            0.025816,            0.008284,            0.008284,            0.008284
                  54,            0.038761,            0.016893,            0.032281,             0.54077,             0.47079,              0.4737,             0.27067,            0.034822,           0.0070062,            0.022529,            0.008251,            0.008251,            0.008251
                  55,            0.038368,            0.016873,             0.03234,             0.52229,             0.48496,             0.47993,             0.27484,            0.034205,           0.0069626,            0.026958,            0.008218,            0.008218,            0.008218
                  56,            0.038643,            0.016963,            0.031067,             0.49802,             0.49524,             0.47732,              0.2738,            0.034736,           0.0069202,            0.024165,            0.008185,            0.008185,            0.008185
                  57,            0.038207,            0.016823,            0.031778,              0.5118,             0.51481,             0.48516,             0.27947,            0.034392,           0.0068807,            0.020626,            0.008152,            0.008152,            0.008152
                  58,             0.03932,            0.016848,            0.031352,             0.52356,             0.49317,              0.4853,             0.27782,            0.034116,           0.0068994,             0.02263,            0.008119,            0.008119,            0.008119
                  59,            0.038572,            0.016724,            0.031581,             0.52808,             0.50189,             0.49366,             0.28367,             0.03425,           0.0069325,            0.021478,            0.008086,            0.008086,            0.008086
                  60,            0.038046,            0.016923,            0.031005,             0.52503,             0.50922,             0.49605,              0.2901,            0.033503,           0.0068734,            0.020892,            0.008053,            0.008053,            0.008053
                  61,            0.038164,            0.016921,             0.03073,             0.51598,             0.50888,             0.49626,             0.28488,            0.033964,           0.0068245,            0.022219,             0.00802,             0.00802,             0.00802
                  62,            0.037577,            0.016841,            0.030806,             0.51416,             0.52419,             0.49083,             0.28393,            0.034086,            0.006865,            0.021322,            0.007987,            0.007987,            0.007987
